Patient Count,Age,Disease,Insurer Cost,Patient % of Cost,Patient Cost,Per Patient Cost,Total Cost
1405,1,Acid Reflux,3901661.77,0.168506434,790691.76,3339.753402,4692353.53
304,2,Acid Reflux,858277.65,0.170996911,177035.32,3405.63477,1035312.97
142,3,Acid Reflux,420850.93,0.167017221,84382.72,3557.983451,505233.65
107,4,Acid Reflux,307946.39,0.167047854,61758.39,3455.18486,369704.78
98,5,Acid Reflux,392417.36,0.147309852,67793.61,4696.030306,460210.97
93,6,Acid Reflux,273932.52,0.165479863,54319.02,3529.586452,328251.54
112,7,Acid Reflux,321972.12,0.171963805,66866.1,3471.769821,388838.22
133,8,Acid Reflux,377766.8,0.168049189,76306.68,3414.086316,454073.48
105,9,Acid Reflux,329434.81,0.153880734,59913.15,3708.07581,389347.96
113,10,Acid Reflux,339812.92,0.166324398,67795.17,3607.151239,407608.09
107,11,Acid Reflux,287461.25,0.17278526,60043.74,3247.710187,347504.99
118,12,Acid Reflux,326156.29,0.174251394,68826.26,3347.309746,394982.55
134,13,Acid Reflux,384818.22,0.172614057,80283.01,3470.904701,465101.23
147,14,Acid Reflux,495443.83,0.164072218,97243.53,4031.886803,592687.36
176,15,Acid Reflux,518687.43,0.168281803,104946.19,3543.372841,623633.62
213,16,Acid Reflux,602841.43,0.172881695,126004.04,3421.809718,728845.47
221,17,Acid Reflux,681891.34,0.164196324,133959.75,3691.633891,815851.09
252,18,Acid Reflux,753929.98,0.172718983,157404.82,3616.407937,911334.8
237,19,Acid Reflux,716006.25,0.180972808,158209.23,3688.672911,874215.48
229,20,Acid Reflux,689320.62,0.170620386,141807.38,3629.379913,831128
253,21,Acid Reflux,760275.6,0.178121358,164770.46,3656.308538,925046.06
291,22,Acid Reflux,875377.77,0.182573937,195517.58,3680.052749,1070895.35
310,23,Acid Reflux,958826.86,0.173287074,200979.44,3741.310645,1159806.3
357,24,Acid Reflux,1060830.51,0.175692923,226105.56,3604.862941,1286936.07
391,25,Acid Reflux,1080917.01,0.181042636,238952.69,3375.625831,1319869.7
389,26,Acid Reflux,1212981.77,0.170003817,248448.77,3756.890848,1461430.54
425,27,Acid Reflux,1342169.31,0.178670259,291972.55,3845.039671,1634141.86
457,28,Acid Reflux,1456317.41,0.176657473,312469.41,3870.430678,1768786.82
435,29,Acid Reflux,1408617.29,0.178236328,305521.87,3940.549793,1714139.16
516,30,Acid Reflux,1780895.98,0.176881453,382700,4193.015465,2163595.98
506,31,Acid Reflux,1711310.69,0.17520899,363530.9,4100.477451,2074841.59
486,32,Acid Reflux,1573039.41,0.17701967,338354.28,3932.908827,1911393.69
533,33,Acid Reflux,1897467.17,0.176710658,407271.97,4324.088443,2304739.14
615,34,Acid Reflux,2197628.66,0.180320417,483453.93,4359.483886,2681082.59
586,35,Acid Reflux,2085234.04,0.176931742,448254.55,4323.359369,2533488.59
618,36,Acid Reflux,2142982.3,0.179083715,467493.75,4224.071278,2610476.05
655,37,Acid Reflux,2397551.9,0.174131802,505516.54,4432.165557,2903068.44
701,38,Acid Reflux,2582742.09,0.181089394,571133.4,4499.109116,3153875.49
720,39,Acid Reflux,2641343.33,0.179471587,577732.68,4470.938903,3219076.01
743,40,Acid Reflux,2817088.59,0.179274117,615346.83,4619.697739,3432435.42
757,41,Acid Reflux,2757205.83,0.180121728,605739.53,4442.464148,3362945.36
748,42,Acid Reflux,2903092.82,0.179652271,635763.59,4731.091457,3538856.41
853,43,Acid Reflux,3238267.85,0.179513314,708496.8,4626.922216,3946764.65
